name,p0010001_2020,p0010002_2020,p0010003_2020,p0010004_2020,p0010005_2020,p0010006_2020,p0010007_2020,p0010008_2020,p0010009_2020,p0010010_2020,p0010011_2020,p0010012_2020,p0010013_2020,p0010014_2020,p0010015_2020,p0010016_2020,p0010017_2020,p0010018_2020,p0010019_2020,p0010020_2020,p0010021_2020,p0010022_2020,p0010023_2020,p0010024_2020,p0010025_2020,p0010026_2020,p0010027_2020,p0010028_2020,p0010029_2020,p0010030_2020,p0010031_2020,p0010032_2020,p0010033_2020,p0010034_2020,p0010035_2020,p0010036_2020,p0010037_2020,p0010038_2020,p0010039_2020,p0010040_2020,p0010041_2020,p0010042_2020,p0010043_2020,p0010044_2020,p0010045_2020,p0010046_2020,p0010047_2020,p0010048_2020,p0010049_2020,p0010050_2020,p0010051_2020,p0010052_2020,p0010053_2020,p0010054_2020,p0010055_2020,p0010056_2020,p0010057_2020,p0010058_2020,p0010059_2020,p0010060_2020,p0010061_2020,p0010062_2020,p0010063_2020,p0010064_2020,p0010065_2020,p0010066_2020,p0010067_2020,p0010068_2020,p0010069_2020,p0010070_2020,p0010071_2020,p0010001_2010,p0010002_2010,p0010003_2010,p0010004_2010,p0010005_2010,p0010006_2010,p0010007_2010,p0010008_2010,p0010009_2010,p0010010_2010,p0010011_2010,p0010012_2010,p0010013_2010,p0010014_2010,p0010015_2010,p0010016_2010,p0010017_2010,p0010018_2010,p0010019_2010,p0010020_2010,p0010021_2010,p0010022_2010,p0010023_2010,p0010024_2010,p0010025_2010,p0010026_2010,p0010027_2010,p0010028_2010,p0010029_2010,p0010030_2010,p0010031_2010,p0010032_2010,p0010033_2010,p0010034_2010,p0010035_2010,p0010036_2010,p0010037_2010,p0010038_2010,p0010039_2010,p0010040_2010,p0010041_2010,p0010042_2010,p0010043_2010,p0010044_2010,p0010045_2010,p0010046_2010,p0010047_2010,p0010048_2010,p0010049_2010,p0010050_2010,p0010051_2010,p0010052_2010,p0010053_2010,p0010054_2010,p0010055_2010,p0010056_2010,p0010057_2010,p0010058_2010,p0010059_2010,p0010060_2010,p0010061_2010,p0010062_2010,p0010063_2010,p0010064_2010,p0010065_2010,p0010066_2010,p0010067_2010,p0010068_2010,p0010069_2010,p0010070_2010,p0010071_2010,p0010001_change,p0010002_change,p0010003_change,p0010004_change,p0010005_change,p0010006_change,p0010007_change,p0010008_change,p0010009_change,p0010010_change,p0010011_change,p0010012_change,p0010013_change,p0010014_change,p0010015_change,p0010016_change,p0010017_change,p0010018_change,p0010019_change,p0010020_change,p0010021_change,p0010022_change,p0010023_change,p0010024_change,p0010025_change,p0010026_change,p0010027_change,p0010028_change,p0010029_change,p0010030_change,p0010031_change,p0010032_change,p0010033_change,p0010034_change,p0010035_change,p0010036_change,p0010037_change,p0010038_change,p0010039_change,p0010040_change,p0010041_change,p0010042_change,p0010043_change,p0010044_change,p0010045_change,p0010046_change,p0010047_change,p0010048_change,p0010049_change,p0010050_change,p0010051_change,p0010052_change,p0010053_change,p0010054_change,p0010055_change,p0010056_change,p0010057_change,p0010058_change,p0010059_change,p0010060_change,p0010061_change,p0010062_change,p0010063_change,p0010064_change,p0010065_change,p0010066_change,p0010067_change,p0010068_change,p0010069_change,p0010070_change,p0010071_change
Peachtree Heights East,1153,1084,1049,11,2,15,0,7,69,65,0,10,14,0,36,0,0,0,2,0,0,1,2,0,0,4,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1073.0,1060.0,1020.0,28.0,0.0,4.0,0.0,8.0,13.0,12.0,3.0,2.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07455731593662628,0.022641509433962263,0.028431372549019607,-0.6071428571428571,,2.75,,-0.125,4.3076923076923075,4.416666666666667,-1.0,4.0,1.8,,35.0,,,,,,,,,-1.0,,3.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt. Gilead Woods,82,75,7,66,0,0,0,2,7,7,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139.0,136.0,2.0,134.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.41007194244604317,-0.4485294117647059,2.5,-0.5074626865671642,,,,,1.3333333333333333,2.5,4.0,,,,,-1.0,,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oakcliff,296,288,10,273,0,0,0,5,8,8,5,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.0,293.0,8.0,280.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010238907849829351,-0.017064846416382253,0.25,-0.025,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Just Us,30,29,0,21,0,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.0,23.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30434782608695654,0.2608695652173913,,-0.08695652173913043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bush Mountain,372,358,35,306,0,6,0,11,14,12,7,0,0,1,1,0,0,0,2,0,0,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.0,195.0,2.0,192.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8979591836734694,0.8358974358974359,16.5,0.59375,-1.0,,,,13.0,11.0,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Briar Glen,607,607,0,604,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,437.0,427.0,8.0,419.0,0.0,0.0,0.0,0.0,10.0,8.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3890160183066362,0.4215456674473068,-1.0,0.441527446300716,,,,,-1.0,-1.0,-1.0,,,,,-1.0,-1.0,,,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairburn,371,364,11,349,1,0,0,3,7,5,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.0,328.0,16.0,305.0,4.0,0.0,0.0,3.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11411411411411411,0.10975609756097561,-0.3125,0.14426229508196722,-0.75,,,0.0,0.4,0.6666666666666666,-1.0,-0.5,,,,,,,,,,,,,,0.0,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Hill Terrace,1238,1214,14,1152,2,1,0,45,24,19,11,1,0,0,1,2,0,0,4,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1019.0,1011.0,23.0,976.0,3.0,0.0,0.0,9.0,8.0,7.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21491658488714427,0.20079129574678536,-0.391304347826087,0.18032786885245902,-0.3333333333333333,,,4.0,2.0,1.7142857142857142,4.5,,,,,,-1.0,-1.0,3.0,,,-1.0,,,,1.0,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brandon,997,942,856,30,4,39,0,13,55,53,0,6,14,2,29,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,903.0,891.0,866.0,1.0,1.0,22.0,0.0,1.0,12.0,12.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10409745293466224,0.05723905723905724,-0.011547344110854504,29.0,3.0,0.7727272727272727,,12.0,3.5833333333333335,3.4166666666666665,-1.0,,1.8,,28.0,,,,,-1.0,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poncey-Highland,3216,2958,2442,279,6,179,0,52,258,244,32,28,51,2,116,4,3,2,5,0,0,0,0,1,0,10,5,1,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1976.0,1919.0,1627.0,207.0,6.0,51.0,3.0,25.0,57.0,55.0,11.0,3.0,25.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6275303643724697,0.5414278269932257,0.5009219422249539,0.34782608695652173,0.0,2.5098039215686274,-1.0,1.08,3.526315789473684,3.4363636363636365,1.9090909090909092,8.333333333333334,1.04,1.0,37.666666666666664,3.0,-0.4,,,,,,-1.0,-0.75,,4.0,4.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
